ID	Name	2013	2014	2015	2016
654	Domenico Criscito	FC Zenit	FC Zenit	FC Zenit	FC Zenit	
653	Jonathan Tinhan	Montpellier Hérault SC	null	null	null	
652	Daniel Congré	Montpellier Hérault SC	null	null	null	
651	Joris Marveaux	Montpellier Hérault SC	null	null	null	
650	Rémy Cabella	Montpellier Hérault SC	null	null	null	
649	Souleymane Camara	Montpellier Hérault SC	null	null	null	
648	Younes Belhanda	Montpellier Hérault SC	null	null	FC Dynamo Kyiv	
647	Atsuto Uchida	FC Schalke 04	FC Schalke 04	FC Schalke 04	null	
646	Teemu Pukki	FC Schalke 04	Celtic FC	null	null	
645	Marko Pantelić	Olympiacos FC	null	null	null	
644	Drissa Diakité	Olympiacos FC	null	null	null	
643	Dimitris Siovas	Olympiacos FC	Olympiacos FC	Olympiacos FC	Olympiacos FC	
642	Alex Oxlade-Chamberlain	Arsenal FC	Arsenal FC	Arsenal FC	null	
641	Laurent Koscielny	Arsenal FC	Arsenal FC	Arsenal FC	Arsenal FC	
640	Admir Mehmedi	FC Dynamo Kyiv	null	null	null	
639	Olexandr Shovkovskiy	FC Dynamo Kyiv	null	null	FC Dynamo Kyiv	
638	Gregory van der Wiel	Paris Saint-Germain	Paris Saint-Germain	Paris Saint-Germain	Paris Saint-Germain	
637	Mamadou Sakho	Paris Saint-Germain	null	Liverpool FC	null	
636	Fernando	FC Porto	FC Porto	Manchester City FC	Manchester City FC	
635	Danilo	FC Porto	null	null	null	
634	Djamal	SC Braga	null	null	null	
633	Nuno André Coelho	SC Braga	null	null	null	
632	Yekta Kurtuluş	Galatasaray A.Ş.	null	null	null	
631	Albert Riera	Galatasaray A.Ş.	null	null	null	
630	Scott Wootton	Manchester United FC	null	null	null	
629	Tom Cleverley	Manchester United FC	Manchester United FC	null	null	
628	Wayne Rooney	Manchester United FC	Manchester United FC	null	Manchester United FC	
627	Anderson	Manchester United FC	null	null	null	
626	Rio Ferdinand	Manchester United FC	Manchester United FC	null	null	
625	Luís Alberto	CFR 1907 Cluj	null	null	null	
624	Saša Bjelanović	CFR 1907 Cluj	null	null	null	
623	Matías Aguirregaray	CFR 1907 Cluj	null	null	null	
622	László Sepsi	CFR 1907 Cluj	null	null	null	
621	Joe Ledley	Celtic FC	Celtic FC	null	null	
620	Efe Ambrose	Celtic FC	Celtic FC	Celtic FC	Celtic FC	
619	Aleksandr Kozlov	FC Spartak Moskva	null	null	null	
618	Sergei Bryzgalov	FC Spartak Moskva	null	null	null	
617	Nicolas Pareja	FC Spartak Moskva	null	null	null	
616	Sergei Pesyakov	FC Spartak Moskva	null	null	null	
615	Andrés Iniesta	FC Barcelona	FC Barcelona	FC Barcelona	FC Barcelona	
614	Jordi Alba	FC Barcelona	FC Barcelona	FC Barcelona	FC Barcelona	
613	Carles Puyol	FC Barcelona	FC Barcelona	null	null	
612	Carlos Martins	SL Benfica	null	null	null	
611	Maxi Pereira	SL Benfica	SL Benfica	SL Benfica	FC Porto	
610	Lima	SL Benfica	null	null	null	
609	Xherdan Shaqiri	FC Bayern München	FC Bayern München	FC Bayern München	null	
608	Yegor Filipenko	FC BATE Borisov	null	null	null	
607	Ronny Rodelin	LOSC Lille	null	null	null	
606	Carlos Delgado	Valencia CF	null	null	null	
605	Víctor Ruiz	Valencia CF	null	null	null	
604	Fernando Gago	Valencia CF	null	null	null	
603	Vicente Guaita	Valencia CF	null	null	null	
602	Gary Cahill	Chelsea FC	Chelsea FC	Chelsea FC	Chelsea FC	
601	Victor Moses	Chelsea FC	null	null	null	
600	Mario Tičinović	FC Nordsjælland	null	null	null	
599	Paul Pogba	Juventus	Juventus	Juventus	Juventus	
598	Emre Çolak	Galatasaray A.Ş.	null	null	null	
597	Johan Elmander	Galatasaray A.Ş.	null	null	null	
596	Aydın Yılmaz	Galatasaray A.Ş.	null	null	null	
595	Nordin Amrabat	Galatasaray A.Ş.	null	null	null	
594	Emmanuel Eboué	Galatasaray A.Ş.	null	null	null	
593	Semih Kaya	Galatasaray A.Ş.	null	null	null	
592	Hakan Balta	Galatasaray A.Ş.	null	null	null	
591	Umut Bulut	Galatasaray A.Ş.	null	null	null	
590	Burak Yılmaz	Galatasaray A.Ş.	null	null	null	
589	Dany Nounkeu	Galatasaray A.Ş.	null	null	null	
588	Felipe Melo	Galatasaray A.Ş.	null	null	null	
587	Selçuk İnan	Galatasaray A.Ş.	null	null	null	
586	Hamit Altıntop	Galatasaray A.Ş.	null	null	null	
585	Fernando Muslera	Galatasaray A.Ş.	null	null	null	
584	Darren Fletcher	Manchester United FC	Manchester United FC	null	null	
583	Danny Welbeck	Manchester United FC	Manchester United FC	Arsenal FC	Arsenal FC	
582	Javier Hernández	Manchester United FC	Manchester United FC	Real Madrid CF	Manchester United FC	
581	Shinji Kagawa	Manchester United FC	Manchester United FC	Borussia Dortmund	null	
580	Paul Scholes	Manchester United FC	null	null	null	
579	Robin van Persie	Manchester United FC	Manchester United FC	null	null	
578	Nani	Manchester United FC	null	Sporting Clube de Portugal	null	
577	Michael Carrick	Manchester United FC	Manchester United FC	null	Manchester United FC	
576	Nemanja Vidić	Manchester United FC	Manchester United FC	null	null	
575	Antonio Valencia	Manchester United FC	Manchester United FC	null	Manchester United FC	
574	Jonny Evans	Manchester United FC	Manchester United FC	null	null	
573	Patrice Evra	Manchester United FC	Manchester United FC	Juventus	Juventus	
572	Rafael	Manchester United FC	Manchester United FC	null	Olympique Lyonnais	
571	David de Gea	Manchester United FC	Manchester United FC	null	Manchester United FC	
570	José Manuel Jurado	FC Spartak Moskva	null	null	null	
569	Kim Källström	FC Spartak Moskva	null	null	null	
568	Alex Song	FC Barcelona	FC Barcelona	null	null	
567	Alexis Sánchez	FC Barcelona	FC Barcelona	Arsenal FC	Arsenal FC	
566	David Villa	FC Barcelona	Club Atlético de Madrid	null	null	
565	Tello	FC Barcelona	null	null	null	
564	Adriano	FC Barcelona	FC Barcelona	FC Barcelona	FC Barcelona	
563	Pedro Rodríguez	FC Barcelona	FC Barcelona	FC Barcelona	Chelsea FC	
